label,id,confusable_char,confusable_unicode
T̕Ł,\u0054\u0315\u0141,"T̕L̸,T̕L̷,TˈL̸,T̓L̸,T̒L̸,T̔L̸,TʼL̸,T’L̸,T՚L̸,TˈL̷,T̓L̷,T̒L̷,T̔L̷,TʼL̷,T’L̷,T՚L̷,TˈŁ,T̓Ł,T̒Ł,T̔Ł,TʼŁ,T’Ł,T՚Ł","\u0054\u0315\u004c\u0338,\u0054\u0315\u004c\u0337,\u0054\u02c8\u004c\u0338,\u0054\u0313\u004c\u0338,\u0054\u0312\u004c\u0338,\u0054\u0314\u004c\u0338,\u0054\u02bc\u004c\u0338,\u0054\u2019\u004c\u0338,\u0054\u055a\u004c\u0338,\u0054\u02c8\u004c\u0337,\u0054\u0313\u004c\u0337,\u0054\u0312\u004c\u0337,\u0054\u0314\u004c\u0337,\u0054\u02bc\u004c\u0337,\u0054\u2019\u004c\u0337,\u0054\u055a\u004c\u0337,\u0054\u02c8\u0141,\u0054\u0313\u0141,\u0054\u0312\u0141,\u0054\u0314\u0141,\u0054\u02bc\u0141,\u0054\u2019\u0141,\u0054\u055a\u0141"
TL',\u0054\u004c\u0027,"TL＇,TL’,TL̓,TL̕,TL̒,TL̔,TLʼ,TLˈ,TL՚","\u0054\u004c\uff07,\u0054\u004c\u2019,\u0054\u004c\u0313,\u0054\u004c\u0315,\u0054\u004c\u0312,\u0054\u004c\u0314,\u0054\u004c\u02bc,\u0054\u004c\u02c8,\u0054\u004c\u055a"
Tł',\u0054\u0142\u0027,"Tł＇,Tł’,Tł̓,Tł̕,Tł̒,Tł̔,Tłʼ,Tłˈ,Tł՚,Tl̸＇,Tl̸’,Tl̸̓,Tl̸̕,Tl̸̒,Tl̸̔,Tl̸ʼ,Tl̸ˈ,Tl̸՚,Tl̷＇,Tl̷’,Tl̷̓,Tl̷̕,Tl̷̒,Tl̷̔,Tl̷ʼ,Tl̷ˈ,Tl̷՚,Tl̸',Tl̷'","\u0054\u0142\uff07,\u0054\u0142\u2019,\u0054\u0142\u0313,\u0054\u0142\u0315,\u0054\u0142\u0312,\u0054\u0142\u0314,\u0054\u0142\u02bc,\u0054\u0142\u02c8,\u0054\u0142\u055a,\u0054\u006c\u0338\uff07,\u0054\u006c\u0338\u2019,\u0054\u006c\u0338\u0313,\u0054\u006c\u0338\u0315,\u0054\u006c\u0338\u0312,\u0054\u006c\u0338\u0314,\u0054\u006c\u0338\u02bc,\u0054\u006c\u0338\u02c8,\u0054\u006c\u0338\u055a,\u0054\u006c\u0337\uff07,\u0054\u006c\u0337\u2019,\u0054\u006c\u0337\u0313,\u0054\u006c\u0337\u0315,\u0054\u006c\u0337\u0312,\u0054\u006c\u0337\u0314,\u0054\u006c\u0337\u02bc,\u0054\u006c\u0337\u02c8,\u0054\u006c\u0337\u055a,\u0054\u006c\u0338\u0027,\u0054\u006c\u0337\u0027"
TL’,\u0054\u004c\u2019,"TL̓,TL̕,TL̒,TL̔,TLʼ,TLˈ,TL՚,TL＇,TL'","\u0054\u004c\u0313,\u0054\u004c\u0315,\u0054\u004c\u0312,\u0054\u004c\u0314,\u0054\u004c\u02bc,\u0054\u004c\u02c8,\u0054\u004c\u055a,\u0054\u004c\uff07,\u0054\u004c\u0027"
TS,\u0054\u0053,,
TS̓,\u0054\u0053\u0313,"TSˈ,TS̕,TS̒,TS̔,TSʼ,TS’,TS՚","\u0054\u0053\u02c8,\u0054\u0053\u0315,\u0054\u0053\u0312,\u0054\u0053\u0314,\u0054\u0053\u02bc,\u0054\u0053\u2019,\u0054\u0053\u055a"
TS̱,\u0054\u0053\u0331,"TS̲,TS̠,TS_","\u0054\u0053\u0332,\u0054\u0053\u0320,\u0054\u0053\u005f"
T̕S,\u0054\u0315\u0053,"TˈS,T̓S,T̒S,T̔S,TʼS,T’S,T՚S","\u0054\u02c8\u0053,\u0054\u0313\u0053,\u0054\u0312\u0053,\u0054\u0314\u0053,\u0054\u02bc\u0053,\u0054\u2019\u0053,\u0054\u055a\u0053"
TS',\u0054\u0053\u0027,"TS＇,TS’,TS̓,TS̕,TS̒,TS̔,TSʼ,TSˈ,TS՚","\u0054\u0053\uff07,\u0054\u0053\u2019,\u0054\u0053\u0313,\u0054\u0053\u0315,\u0054\u0053\u0312,\u0054\u0053\u0314,\u0054\u0053\u02bc,\u0054\u0053\u02c8,\u0054\u0053\u055a"
Ts',\u0054\u0073\u0027,"Ts＇,Ts’,Ts̓,Ts̕,Ts̒,Ts̔,Tsʼ,Tsˈ,Ts՚","\u0054\u0073\uff07,\u0054\u0073\u2019,\u0054\u0073\u0313,\u0054\u0073\u0315,\u0054\u0073\u0312,\u0054\u0073\u0314,\u0054\u0073\u02bc,\u0054\u0073\u02c8,\u0054\u0073\u055a"
TS’,\u0054\u0053\u2019,"TS＇,TS',TS̓,TS̕,TS̒,TS̔,TSʼ,TSˈ,TS՚","\u0054\u0053\uff07,\u0054\u0053\u0027,\u0054\u0053\u0313,\u0054\u0053\u0315,\u0054\u0053\u0312,\u0054\u0053\u0314,\u0054\u0053\u02bc,\u0054\u0053\u02c8,\u0054\u0053\u055a"
TS̱’,\u0054\u0053\u0331\u2019,"TS̱＇,TS̱',TS̱̓,TS̱̕,TS̱̒,TS̱̔,TS̱ʼ,TS̱ˈ,TS̱՚,TS̲＇,TS̲',TS̲̓,TS̲̕,TS̲̒,TS̲̔,TS̲ʼ,TS̲ˈ,TS̲՚,TS̲’","\u0054\u0053\u0331\uff07,\u0054\u0053\u0331\u0027,\u0054\u0053\u0331\u0313,\u0054\u0053\u0331\u0315,\u0054\u0053\u0331\u0312,\u0054\u0053\u0331\u0314,\u0054\u0053\u0331\u02bc,\u0054\u0053\u0331\u02c8,\u0054\u0053\u0331\u055a,\u0054\u0053\u0332\uff07,\u0054\u0053\u0332\u0027,\u0054\u0053\u0332\u0313,\u0054\u0053\u0332\u0315,\u0054\u0053\u0332\u0312,\u0054\u0053\u0332\u0314,\u0054\u0053\u0332\u02bc,\u0054\u0053\u0332\u02c8,\u0054\u0053\u0332\u055a,\u0054\u0053\u0332\u2019"
TTH,\u0054\u0054\u0048,,
TTH',\u0054\u0054\u0048\u0027,"TTH＇,TTH’,TTH̓,TTH̕,TTH̒,TTH̔,TTHʼ,TTHˈ,TTH՚","\u0054\u0054\u0048\uff07,\u0054\u0054\u0048\u2019,\u0054\u0054\u0048\u0313,\u0054\u0054\u0048\u0315,\u0054\u0054\u0048\u0312,\u0054\u0054\u0048\u0314,\u0054\u0054\u0048\u02bc,\u0054\u0054\u0048\u02c8,\u0054\u0054\u0048\u055a"
U̓,\u0055\u0313,"Uˈ,U̕,U̒,U̔,Uʼ,U’,U՚","\u0055\u02c8,\u0055\u0315,\u0055\u0312,\u0055\u0314,\u0055\u02bc,\u0055\u2019,\u0055\u055a"
Ŭ,\u016c,,
Ū,\u016a,"Ū,U̅,Ū,Ū,U¯,U‾","\u0055\u0304,\u0055\u0305,\u0055\u0304,\u0055\u0304,\u0055\u00af,\u0055\u203e"
UU,\u0055\u0055,,
V,\u0056,,
V́,\u0056\u0301,,
W̓,\u0057\u0313,"Wˈ,W̕,W̒,W̔,Wʼ,W’,W՚","\u0057\u02c8,\u0057\u0315,\u0057\u0312,\u0057\u0314,\u0057\u02bc,\u0057\u2019,\u0057\u055a"
W',\u0057\u0027,"W＇,W’,W̓,W̕,W̒,W̔,Wʼ,Wˈ,W՚","\u0057\uff07,\u0057\u2019,\u0057\u0313,\u0057\u0315,\u0057\u0312,\u0057\u0314,\u0057\u02bc,\u0057\u02c8,\u0057\u055a"
X̌,\u0058\u030c,,
X̣,\u0058\u0323,,
Xv,\u0058\u0076,,
XV,\u0058\u0056,,
X̌V,\u0058\u030c\u0056,,
Xʷ,\u0058\u02b7,,
XW,\u0058\u0057,,
X̌ʷ,\u0058\u030c\u02b7,,
X̣ʷ,\u0058\u0323\u02b7,,
X̱W,\u0058\u0331\u0057,,
Y̓,\u0059\u0313,"Yˈ,Y̕,Y̒,Y̔,Yʼ,Y’,Y՚","\u0059\u02c8,\u0059\u0315,\u0059\u0312,\u0059\u0314,\u0059\u02bc,\u0059\u2019,\u0059\u055a"
YH,\u0059\u0048,,
Z̓,\u005a\u0313,"Zˈ,Z̕,Z̒,Z̔,Zʼ,Z’,Z՚","\u005a\u02c8,\u005a\u0315,\u005a\u0312,\u005a\u0314,\u005a\u02bc,\u005a\u2019,\u005a\u055a"
Ẕ,\u1e94,"Z̲,Z̠,Z_,Ẕ","\u005a\u0332,\u005a\u0320,\u005a\u005f,\u005a\u0331"
Zh,\u005a\u0068,,
Ɂ,\u0241,"ɂ,ॽ","\u0242,\u097d"
Λ,\u039b,,
